Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,앱에서 필수 사용자 데이터 유형을 수집하거나 공유하나요?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,앱에서 수집하는 모든 사용자 데이터를 암호화하여 전송하나요?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,true,MULTIPLE_CHOICE,다음 중 앱에서 지원하는 계정 생성 방법은 무엇인가요? 해당되는 항목을 모두 선택해 주세요./사용자 이름 및 비밀번호
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,false,MULTIPLE_CHOICE,다음 중 앱에서 지원하는 계정 생성 방법은 무엇인가요? 해당되는 항목을 모두 선택해 주세요./사용자 이름 및 기타 인증
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,false,MULTIPLE_CHOICE,"다음 중 앱에서 지원하는 계정 생성 방법은 무엇인가요? 해당되는 항목을 모두 선택해 주세요./사용자 이름, 비밀번호, 기타 인증"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,true,MULTIPLE_CHOICE,다음 중 앱에서 지원하는 계정 생성 방법은 무엇인가요? 해당되는 항목을 모두 선택해 주세요./OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,false,MULTIPLE_CHOICE,다음 중 앱에서 지원하는 계정 생성 방법은 무엇인가요? 해당되는 항목을 모두 선택해 주세요./기타
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,false,MULTIPLE_CHOICE,다음 중 앱에서 지원하는 계정 생성 방법은 무엇인가요? 해당되는 항목을 모두 선택해 주세요./앱에서 사용자가 계정을 만들도록 허용하지 않음
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,앱에서 지원하는 계정 생성 방법 설명
PSL_ACCOUNT_DELETION_URL,,https://massa-seven.vercel.app/delete-account.html,MAYBE_REQUIRED,사용자가 계정 및 관련 데이터의 삭제를 요청하는 데 사용할 수 있는 링크 추가 
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,false,SINGLE_CHOICE,사용자가 데이터 삭제를 요청할 수 있는 방편을 제공하나요?/예
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,true,SINGLE_CHOICE,사용자가 데이터 삭제를 요청할 수 있는 방편을 제공하나요?/아니요
