카테고리	massa 서비스	시간(분)	massa 가격
마사지	다리 마사지 60분	60	500000
마사지	다리 마사지 90분	90	600000
마사지	다리 마사지 120분	120	700000
마사지	등 테라피 60분	60	500000
마사지	등 테라피 90분	90	600000
마사지	등 테라피 120분	120	700000
마사지	머리 마사지 60분	60	500000
마사지	머리 마사지 90분	90	600000
마사지	머리 마사지 120분	120	700000
마사지	목·어깨 테라피 60분	60	500000
마사지	목·어깨 테라피 90분	90	600000
마사지	목·어깨 테라피 120분	120	700000
마사지	스웨디시 60분	60	500000
마사지	스웨디시 90분	90	600000
마사지	스포츠 테라피 60분	60	500000
마사지	스포츠 테라피 90분	90	600000
마사지	스포츠 테라피 120분	120	700000
마사지	아로마 마사지 60분	60	500000
마사지	아로마 마사지 90분	90	600000
마사지	아로마 마사지 120분	120	700000
마사지	아로마테라피 60분	60	500000
마사지	아로마테라피 90분	90	600000
마사지	아로마테라피 120분	120	700000
마사지	어깨·목 마사지 60분	60	500000
마사지	어깨·목 마사지 90분	90	600000
마사지	어깨·목 마사지 120분	120	700000
마사지	오일 마사지 + 부항 요법 60분	60	500000
마사지	오일 마사지 + 부항 요법 90분	90	600000
마사지	오일 마사지 + 부항 요법 120분	120	700000
마사지	오일 없는 마사지 60분	60	500000
마사지	오일 없는 마사지 90분	90	600000
마사지	오일 없는 마사지 120분	120	700000
마사지	타이 마사지 60분	60	500000
마사지	타이 마사지 90분	90	600000
마사지	태국식 마사지 60분	60	500000
마사지	태국식 마사지 90분	90	600000
마사지	태국식 마사지 120분	120	700000
마사지	풋 테라피 60분	60	500000
마사지	풋 테라피 90분	90	600000
마사지	풋 테라피 120분	120	700000
마사지	핫 스톤마사지 60분	60	500000
마사지	핫 스톤마사지 90분	90	600000
마사지	핫 스톤마사지 120분	120	700000
마사지	헤드 테라피 60분	60	500000
마사지	헤드 테라피 90분	90	600000
마사지	헤드 테라피 120분	120	700000
홈뷰티·케어	가슴 왁싱 30분	30	350000
홈뷰티·케어	각질 제거 45분	45	350000
홈뷰티·케어	겨드랑이 왁싱 30분	30	250000
홈뷰티·케어	귀청소 30분	30	200000
홈뷰티·케어	네일 60분	60	400000
홈뷰티·케어	네일 연장 90분	90	550000
홈뷰티·케어	다리 전체 왁싱 60분	60	550000
홈뷰티·케어	복부 왁싱 30분	30	300000
홈뷰티·케어	비키니 왁싱 45분	50	500000
홈뷰티·케어	풀 왁싱 90분(겨드랑이,팔,다리,복부,비키니)	90	1200000
홈뷰티·케어	젤 매니큐어 60분	60	380000
홈뷰티·케어	젤 페디큐어 60분	60	400000
홈뷰티·케어	팔 전체 왁싱 45분	45	400000
홈뷰티·케어	한국식 전신 스크럽 60분	60	500000
